context,target_word,question,annotated_question,answers,ground_truth_answer,bert-base_pred_orig,bert-base_pred_ambig,bert-large_pred_orig,bert-large_pred_ambig,roberta-base_pred_orig,roberta-base_pred_ambig,roberta-large_pred_orig,roberta-large_pred_ambig,deberta-base_pred_orig,deberta-base_pred_ambig,deberta-large_pred_orig,deberta-large_pred_ambig
"Legislative power lies with the Nitijela. The upper house of Parliament, called the Council of Iroij, is an advisory body comprising twelve tribal chiefs. The executive branch consists of the President and the Presidential Cabinet, which consists of ten ministers appointed by the President with the approval of the Nitijela. The twenty-four electoral districts into which the country is divided correspond to the inhabited islands and atolls. There are currently four political parties in the Marshall Islands: Aelon̄ Kein Ad (AKA), United People's Party (UPP), Kien Eo Am (KEA) and United Democratic Party (UDP). Rule is shared by the AKA and the UDP. The following senators are in the legislative body:",cabinet,How many ministers are in the Presidential Cabinet?,How many people are in the cabinet?,"{'text': ['ten'], 'answer_start': [250]}",['ten'],ten,ten,ten,ten, ten, ten, ten, ten,ten,ten,ten,ten
"Preceding the reform law, in August 1952, communist-led riots broke out at textile factories in Kafr el-Dawwar, leading to a clash with the army that left nine people dead. While most of the RCC insisted on executing the riot's two ringleaders, Nasser opposed this. Nonetheless, the sentences were carried out. The Muslim Brotherhood supported the RCC, and after Naguib's assumption of power, demanded four ministerial portfolios in the new cabinet. Nasser turned down their demands and instead hoped to co-opt the Brotherhood by giving two of its members, who were willing to serve officially as independents, minor ministerial posts.",cabinet,How many posts did the Muslim Brotherhood get in Naguib's cabinet?,How many roles did the group hold in the cabinet?,"{'text': ['two'], 'answer_start': [537]}",['two'],two,four,,two, four, four, two, two,two,two of its members,two,two
"New Haven is the birthplace of former president George W. Bush, who was born when his father, former president George H. W. Bush, was living in New Haven while a student at Yale. In addition to being the site of the college educations of both Presidents Bush, as Yale students, New Haven was also the temporary home of former presidents William Howard Taft, Gerald Ford, and Bill Clinton, as well as Secretary of State John Kerry. President Clinton met his wife, former U.S. Secretary of State Hillary Rodham Clinton, while the two were students at Yale Law School. Former vice presidents John C. Calhoun and Dick Cheney also studied in New Haven (although the latter did not graduate from Yale). Before the 2008 election, the last time there was not a person with ties to New Haven and Yale on either major party's ticket was 1968. James Hillhouse, a New Haven native, served as President pro tempore of the United States Senate in 1801.",cabinet,"Serving in President Obama's cabinet, this man has also studied at Yale, can you guess who?","Serving in the cabinet, this individual also studied at a university — who is it?","{'text': ['John Kerry'], 'answer_start': [419]}",['John Kerry'],john kerry,secretary of state john kerry,john kerry,john kerry, John Kerry, John Kerry, John Kerry, Yale Law School,John Kerry,John Kerry,John Kerry,John Kerry
"The British declaration of war on Germany and its allies also committed the colonies and Dominions, which provided invaluable military, financial and material support. Over 2.5 million men served in the armies of the Dominions, as well as many thousands of volunteers from the Crown colonies. The contributions of Australian and New Zealand troops during the 1915 Gallipoli Campaign against the Ottoman Empire had a great impact on the national consciousness at home, and marked a watershed in the transition of Australia and New Zealand from colonies to nations in their own right. The countries continue to commemorate this occasion on Anzac Day. Canadians viewed the Battle of Vimy Ridge in a similar light. The important contribution of the Dominions to the war effort was recognised in 1917 by the British Prime Minister David Lloyd George when he invited each of the Dominion Prime Ministers to join an Imperial War Cabinet to co-ordinate imperial policy.",cabinet,The Imperial War Cabinet was created by which British Prime Minister?,Who is the person that made the cabinet?,"{'text': ['Gallipoli Campaign'], 'answer_start': [364]}",['Gallipoli Campaign'],david lloyd george,david lloyd george,david lloyd george,david lloyd george, David Lloyd George,<s>,<s>,<s>,David Lloyd George,"[CLS] Who is the person that made the cabinet?[SEP] The British declaration of war on Germany and its allies also committed the colonies and Dominions, which provided invaluable military, financial and material support. Over 2.5 million men served in the armies of the Dominions, as well as many thousands of volunteers from the Crown colonies. The contributions of Australian and New Zealand troops during the 1915 Gallipoli Campaign against the Ottoman Empire had a great impact on the national consciousness at home, and marked a watershed in the transition of Australia and New Zealand from colonies to nations in their own right. The countries continue to commemorate this occasion on Anzac Day. Canadians viewed the Battle of Vimy Ridge in a similar light. The important contribution of the Dominions to the war effort was recognised in 1917 by the British Prime Minister David Lloyd George",David Lloyd George,David Lloyd George
"Some of Jackson's successors made no use of the veto power, while others used it intermittently. It was only after the Civil War that presidents began to use the power to truly counterbalance Congress. Andrew Johnson, a Democrat, vetoed several Reconstruction bills passed by the ""Radical Republicans."" Congress, however, managed to override fifteen of Johnson's twenty-nine vetoes. Furthermore, it attempted to curb the power of the presidency by passing the Tenure of Office Act. The Act required Senate approval for the dismissal of senior Cabinet officials. When Johnson deliberately violated the Act, which he felt was unconstitutional (Supreme Court decisions later vindicated such a position), the House of Representatives impeached him; he was acquitted in the Senate by one vote.",cabinet,What act did congress pass that gave the senate the right to approve the dismissal of a cabinet official?,What law gave the right to approve firing a cabinet official?,"{'text': ['Tenure of Office Act'], 'answer_start': [460]}",['Tenure of Office Act'],tenure of office act,[CLS],tenure of office act,tenure of office act, Tenure of Office Act, Tenure of Office Act, Tenure of Office Act, Tenure of Office Act,Tenure of Office Act,Tenure of Office Act,Tenure of Office Act,Tenure of Office Act
"It was not unusual for electric recordings to be played back on acoustic phonographs. The Victor Orthophonic phonograph was a prime example where such playback was expected. In the Orthophonic, which benefited from telephone research, the mechanical pickup head was redesigned with lower resonance than the traditional mica type. Also, a folded horn with an exponential taper was constructed inside the cabinet to provide better impedance matching to the air. As a result, playback of an Orthophonic record sounded like it was coming from a radio.",cabinet,What allowed better sounds inside the cabinet of the orthoponic phonograph?,What allowed better sounds inside the cabinet?,"{'text': ['folded horn with an exponential taper'], 'answer_start': [338]}",['folded horn with an exponential taper'],folded horn with an exponential taper,folded horn with an exponential taper,a folded horn with an exponential taper,a folded horn with an exponential taper, a folded horn with an exponential taper, a folded horn with an exponential taper, folded horn with an exponential taper, folded horn with an exponential taper,folded horn with an exponential taper,folded horn with an exponential taper,a folded horn with an exponential taper,a folded horn with an exponential taper
"The Prime Minister has the right to appoint a maximum of three such ministers, as the limit of ministers in one government is fifteen. It is also known as the cabinet. The cabinet carries out the country's domestic and foreign policy, shaped by parliament; it directs and co-ordinates the work of government institutions and bears full responsibility for everything occurring within the authority of executive power. The government, headed by the Prime Minister, thus represents the political leadership of the country and makes decisions in the name of the whole executive power.",cabinet,What major responsibility does the cabinet hold?,What is the main thing that the cabinet hold?,"{'text': ['everything occurring within the authority of executive power'], 'answer_start': [355]}",['everything occurring within the authority of executive power'],everything occurring within the authority of executive power,the country ' s domestic and foreign policy,everything occurring within the authority of executive power,"carries out the country ' s domestic and foreign policy , shaped by parliament ; it directs and co - ordinates the work of government institutions and bears full responsibility for everything occurring within the authority of executive power", everything occurring within the authority of executive power, domestic and foreign policy, everything occurring within the authority of executive power, carries out the country's domestic and foreign policy,everything occurring within the authority of executive power,domestic and foreign policy,everything occurring within the authority of executive power,full responsibility for everything occurring within the authority of executive power
"Gladstone returned to power after the 1892 general election; he was 82 years old. Victoria objected when Gladstone proposed appointing the Radical MP Henry Labouchere to the Cabinet, so Gladstone agreed not to appoint him. In 1894, Gladstone retired and, without consulting the outgoing prime minister, Victoria appointed Lord Rosebery as prime minister. His government was weak, and the following year Lord Salisbury replaced him. Salisbury remained prime minister for the remainder of Victoria's reign.",cabinet,What radical MP did Victoria object to being appointed to the cabinet by Gladstone?,Who did Victoria oppose being placed in the cabinet?,"{'text': ['Henry Labouchere'], 'answer_start': [150]}",['Henry Labouchere'],henry labouchere,henry labouchere,henry labouchere,henry labouchere, Henry Labouchere, Henry Labouchere, Henry Labouchere, Henry Labouchere,Henry Labouchere,Henry Labouchere,Henry Labouchere,Henry Labouchere
"The Prime Minister has the right to appoint a maximum of three such ministers, as the limit of ministers in one government is fifteen. It is also known as the cabinet. The cabinet carries out the country's domestic and foreign policy, shaped by parliament; it directs and co-ordinates the work of government institutions and bears full responsibility for everything occurring within the authority of executive power. The government, headed by the Prime Minister, thus represents the political leadership of the country and makes decisions in the name of the whole executive power.",cabinet,What strategy does the cabinet execute?,What system does the cabinet use to operate?,"{'text': ['domestic and foreign policy'], 'answer_start': [206]}",['domestic and foreign policy'],domestic and foreign policy,parliament,domestic and foreign policy,parliament, the country's domestic and foreign policy, parliament, domestic and foreign policy, parliament,domestic and foreign policy,parliament,domestic and foreign policy,parliament
"Nasser appointed himself the additional roles of prime minister and supreme commander of the armed forces on 19 June 1967. Angry at the military court's perceived leniency with air force officers charged with negligence during the 1967 war, workers and students launched protests calling for major political reforms in late February 1968. Nasser responded to the demonstrations, the most significant public challenge to his rule since workers' protests in March 1954, by removing most military figures from his cabinet and appointing eight civilians in place of several high-ranking members of the Arab Socialist Union (ASU). By 3 March, Nasser directed Egypt's intelligence apparatus to focus on external rather than domestic espionage, and declared the ""fall of the mukhabarat state"".",cabinet,What type of people were ousted from Nasser's cabinet?,What type of people were removed from the cabinet?,"{'text': ['Arab Socialist Union'], 'answer_start': [598]}",['Arab Socialist Union'],military figures from his cabinet and appointing eight civilians in place of several high - ranking members of the arab socialist union ( asu ),military figures,military figures from his cabinet and appointing eight civilians in place of several high - ranking members of the arab socialist union,arab socialist union, military figures, military figures, Arab Socialist Union, Arab Socialist Union,Arab Socialist Union,Arab Socialist Union,military figures,military figures
