id,title,context,question,answers,target_word,pos_tag
56bf8fc1a10cfb1400551177,Beyoncé,"Beyoncé's first solo recording was a feature on Jay Z's ""'03 Bonnie & Clyde"" that was released in Oc..."," The album, Dangerously in Love  achieved what spot on the Billboard Top 100 chart?","{'text': array(['number four'], dtype=object), 'answer_start': array([123], dtype=int32)}",album,NOUN
56be86cf3aeaaa14008c9076,Beyoncé,"Following the disbandment of Destiny's Child in June 2005, she released her second solo album, B'Day...","After her second solo album, what other entertainment venture did Beyonce explore?","{'text': array(['acting'], dtype=object), 'answer_start': array([207], dtype=int32)}",album,NOUN
56be90ee3aeaaa14008c90e5,Beyoncé,"Beyoncé's first solo recording was a feature on Jay Z's ""'03 Bonnie & Clyde"" that was released in Oc...",Beyonce's first album by herself was called what?,"{'text': array(['Dangerously in Love'], dtype=object), 'answer_start': array([193], dtype=int32)}",album,NOUN
56bf8fc1a10cfb1400551175,Beyoncé,"Beyoncé's first solo recording was a feature on Jay Z's ""'03 Bonnie & Clyde"" that was released in Oc...",Beyonce's first solo album in the U.S. with what artist in the lead single?,"{'text': array(['Jay Z'], dtype=object), 'answer_start': array([48], dtype=int32)}",album,NOUN
56be91b23aeaaa14008c90f0,Beyoncé,"In November 2003, she embarked on the Dangerously in Love Tour in Europe and later toured alongside ...",Destiny's Child's final album was named what?,"{'text': array(['Destiny Fulfilled'], dtype=object), 'answer_start': array([513], dtype=int32)}",album,NOUN
56d43c5f2ccc5a1400d830ad,Beyoncé,"Beyoncé Giselle Knowles-Carter (/biːˈjɒnseɪ/ bee-YON-say) (born September 4, 1981) is an American si...",How many Grammy awards did Beyoncé win for her first solo album?,"{'text': array(['five'], dtype=object), 'answer_start': array([590], dtype=int32)}",album,NOUN
56be90ee3aeaaa14008c90e8,Beyoncé,"Beyoncé's first solo recording was a feature on Jay Z's ""'03 Bonnie & Clyde"" that was released in Oc...",How many top five singles came from her first album?,"{'text': array(['four'], dtype=object), 'answer_start': array([130], dtype=int32)}",album,NOUN
56be8e353aeaaa14008c90c9,Beyoncé,"The remaining band members recorded ""Independent Women Part I"", which appeared on the soundtrack to ...","Their third album, Survivor, sold how many during its first week?","{'text': array(['663,000 copies'], dtype=object), 'answer_start': array([793], dtype=int32)}",album,NOUN
56bf89cfa10cfb1400551163,Beyoncé,"The remaining band members recorded ""Independent Women Part I"", which appeared on the soundtrack to ...",What album caused a lawsuit to be filed in 2001?,"{'text': array(['Survivor'], dtype=object), 'answer_start': array([593], dtype=int32)}",album,NOUN
56bf6b0f3aeaaa14008c9604,Beyoncé,"Beyoncé Giselle Knowles-Carter (/biːˈjɒnseɪ/ bee-YON-say) (born September 4, 1981) is an American si...",What album made her a worldwide known artist?,"{'text': array(['Dangerously in Love'], dtype=object), 'answer_start': array([505], dtype=int32)}",album,NOUN
56d4b9702ccc5a1400d83174,Beyoncé,"Beyoncé's first solo recording was a feature on Jay Z's ""'03 Bonnie & Clyde"" that was released in Oc...",What is the lead single on Beyoncé's first album?,"{'text': array(['Crazy in Love'], dtype=object), 'answer_start': array([474], dtype=int32)}",album,NOUN
56bf79c73aeaaa14008c966f,Beyoncé,"At age eight, Beyoncé and childhood friend Kelly Rowland met LaTavia Roberson while in an audition f...",What large record company recorded Beyonce's group's first album?,"{'text': array(['Sony Music'], dtype=object), 'answer_start': array([1264], dtype=int32)}",album,NOUN
56bf8fc1a10cfb1400551176,Beyoncé,"Beyoncé's first solo recording was a feature on Jay Z's ""'03 Bonnie & Clyde"" that was released in Oc...",What solo album did Beyonce release in 2003?,"{'text': array(['Dangerously in Love'], dtype=object), 'answer_start': array([193], dtype=int32)}",album,NOUN
56d43c5f2ccc5a1400d830ab,Beyoncé,"Beyoncé Giselle Knowles-Carter (/biːˈjɒnseɪ/ bee-YON-say) (born September 4, 1981) is an American si...",What was the first album Beyoncé released as a solo artist?,"{'text': array(['Dangerously in Love'], dtype=object), 'answer_start': array([505], dtype=int32)}",album,NOUN
56d43ce42ccc5a1400d830b5,Beyoncé,"Beyoncé Giselle Knowles-Carter (/biːˈjɒnseɪ/ bee-YON-say) (born September 4, 1981) is an American si...",What was the name of Beyoncé's first solo album?,"{'text': array(['Dangerously in Love'], dtype=object), 'answer_start': array([505], dtype=int32)}",album,NOUN
56d43da72ccc5a1400d830be,Beyoncé,"Following the disbandment of Destiny's Child in June 2005, she released her second solo album, B'Day...",What was the name of Beyoncé's second solo album?,"{'text': array(['B'Day'], dtype=object), 'answer_start': array([95], dtype=int32)}",album,NOUN
56d4831f2ccc5a1400d83156,Beyoncé,"The remaining band members recorded ""Independent Women Part I"", which appeared on the soundtrack to ...",What was the name of Destiny Child's third album?,"{'text': array(['Survivor'], dtype=object), 'answer_start': array([593], dtype=int32)}",album,NOUN
56d4b9702ccc5a1400d83173,Beyoncé,"Beyoncé's first solo recording was a feature on Jay Z's ""'03 Bonnie & Clyde"" that was released in Oc...",When did Beyoncé release her first solo album?,"{'text': array(['June 24, 2003'], dtype=object), 'answer_start': array([229], dtype=int32)}",album,NOUN
56d45fcb2ccc5a1400d830fc,Beyoncé,"The group changed their name to Destiny's Child in 1996, based upon a passage in the Book of Isaiah....",When did Destiny's Child release their second album?,"{'text': array(['1999'], dtype=object), 'answer_start': array([688], dtype=int32)}",album,NOUN
56bf6e823aeaaa14008c962a,Beyoncé,"Following the disbandment of Destiny's Child in June 2005, she released her second solo album, B'Day...",Which album was darker in tone from her previous work?,"{'text': array(['Beyoncé'], dtype=object), 'answer_start': array([180], dtype=int32)}",album,NOUN
56d53a0e2593cc1400307af5,2008_Sichuan_earthquake,"In the days following the disaster, an international reconnaissance team of engineers was dispatched...",After the quake what kind of international team was sent to the area?,"{'text': array(['team of engineers'], dtype=object), 'answer_start': array([68], dtype=int32)}",area,NOUN
