title,context,target_word,question,annotated_question,answers,ambiguity_type,answer_annotation,context_len,orig_len,ambig_len,answer_len
Beyoncé,"Beyoncé's first solo recording was a feature on Jay Z's ""'03 Bonnie & Clyde"" that was released in Oc...",album,"The album, Dangerously in Love achieved what spot on the Billboard Top 100 chart?",What spot did the album achieve?,"{'text': ['number four'], 'answer_start': [123]}",lexical,numeric,181,14,6,5
Beyoncé,"Following the disbandment of Destiny's Child in June 2005, she released her second solo album, B'Day...",album,"After her second solo album, what other entertainment venture did Beyonce explore?","After her second album, what other entertainment venture did she explore?","{'text': ['acting'], 'answer_start': [207]}",both,np,160,12,11,4
Beyoncé,"Beyoncé's first solo recording was a feature on Jay Z's ""'03 Bonnie & Clyde"" that was released in Oc...",album,Beyonce's first album by herself was called what?,Her first album was called what?,"{'text': ['Dangerously in Love'], 'answer_start': [193]}",both,other entity,181,8,6,6
Beyoncé,"Beyoncé's first solo recording was a feature on Jay Z's ""'03 Bonnie & Clyde"" that was released in Oc...",album,Beyonce's first solo album in the U.S. with what artist in the lead single?,Her first album in the U.S. featured which artist in the lead single?,"{'text': ['Jay Z'], 'answer_start': [48]}",both,person,181,14,13,5
Beyoncé,"In November 2003, she embarked on the Dangerously in Love Tour in Europe and later toured alongside ...",album,Destiny's Child's final album was named what?,Their final album was named what?,"{'text': ['Destiny Fulfilled'], 'answer_start': [513]}",both,other entity,204,7,6,5
Beyoncé,"Beyoncé Giselle Knowles-Carter (/biːˈjɒnseɪ/ bee-YON-say) (born September 4, 1981) is an American si...",album,How many Grammy awards did Beyoncé win for her first solo album?,How many awards did she win for her album?,"{'text': ['five'], 'answer_start': [590]}",both,numeric,109,12,9,4
Beyoncé,"Beyoncé's first solo recording was a feature on Jay Z's ""'03 Bonnie & Clyde"" that was released in Oc...",album,How many top five singles came from her first album?,How many top five singles came from her first album?,"{'text': ['four'], 'answer_start': [130]}",both,numeric,181,10,10,4
Beyoncé,"The remaining band members recorded ""Independent Women Part I"", which appeared on the soundtrack to ...",album,"Their third album, Survivor, sold how many during its first week?",Their album sold how many in its first week?,"{'text': ['663,000 copies'], 'answer_start': [793]}",both,numeric,184,11,9,5
Beyoncé,"The remaining band members recorded ""Independent Women Part I"", which appeared on the soundtrack to ...",album,What album caused a lawsuit to be filed in 2001?,What album caused a lawsuit to be filed in 2001?,"{'text': ['Survivor'], 'answer_start': [593]}",lexical,other entity,184,10,10,4
Beyoncé,"Beyoncé Giselle Knowles-Carter (/biːˈjɒnseɪ/ bee-YON-say) (born September 4, 1981) is an American si...",album,What album made her a worldwide known artist?,What album made her a worldwide known artist?,"{'text': ['Dangerously in Love'], 'answer_start': [505]}",both,other entity,109,8,8,6
