target_word,model,em_orig,f1_orig,em_ambig,f1_ambig,cls_count_orig,cls_count_ambig
album,bert-base,85.0,85.0,80.0,80.0,0,0
album,bert-large,85.0,85.0,80.0,80.0,0,1
album,roberta-base,80.0,87.03030303030303,85.0,88.59649122807016,1,1
album,roberta-large,95.0,98.33333333333333,95.0,95.0,0,0
album,deberta-base,100.0,100.0,95.0,98.33333333333333,0,0
album,deberta-large,90.0,93.33333333333333,85.0,85.0,1,2
area,bert-base,70.0,86.01587301587301,55.0,69.65234968283748,1,2
area,bert-large,75.0,88.78571428571428,65.0,79.2124542124542,0,0
area,roberta-base,70.0,82.73015873015872,45.0,59.0,1,0
area,roberta-large,80.0,95.23015873015872,60.0,78.47802197802199,0,0
area,deberta-base,95.0,99.44444444444444,65.0,81.70238095238093,0,2
area,deberta-large,70.0,92.84920634920636,55.0,77.28571428571428,0,2
article,bert-base,80.0,88.66666666666667,70.0,77.83333333333334,0,2
article,bert-large,90.0,91.99999999999999,80.0,83.24999999999999,0,0
article,roberta-base,80.0,86.66666666666667,70.0,78.69047619047618,0,0
article,roberta-large,95.0,98.33333333333334,75.0,80.61111111111111,0,0
article,deberta-base,100.0,100.0,80.0,83.33333333333334,0,0
article,deberta-large,95.0,98.33333333333334,80.0,83.11111111111111,0,1
ball,bert-base,85.0,87.83333333333334,65.0,67.25974025974025,0,4
ball,bert-large,85.0,87.83333333333334,85.0,86.99999999999999,0,0
ball,roberta-base,95.0,95.0,75.0,75.48780487804878,0,0
ball,roberta-large,95.0,95.0,80.0,81.66666666666666,0,0
ball,deberta-base,100.0,100.0,85.0,86.33333333333333,0,1
ball,deberta-large,100.0,100.0,90.0,90.0,0,1
bank,bert-base,75.0,87.96969696969697,60.0,74.7878787878788,0,2
bank,bert-large,70.0,82.96969696969697,70.0,85.82683982683982,1,0
bank,roberta-base,75.0,88.58333333333334,75.0,83.90151515151516,0,0
bank,roberta-large,90.0,96.25,70.0,78.19444444444444,0,0
bank,deberta-base,100.0,100.0,95.0,98.33333333333333,0,0
bank,deberta-large,85.0,95.41666666666666,85.0,92.08333333333333,0,1
bar,bert-base,80.0,81.99999999999999,55.0,61.191838897721254,2,4
bar,bert-large,85.0,86.99999999999999,65.0,69.96703296703298,0,1
bar,roberta-base,85.0,85.70451436388507,65.0,65.31627906976743,0,0
bar,roberta-large,95.0,95.0,70.0,71.11111111111111,0,1
bar,deberta-base,95.0,95.0,75.0,77.2443438914027,1,1
bar,deberta-large,90.0,90.0,60.0,62.64957264957265,2,6
bass,bert-base,66.66666666666667,84.31420431420432,50.0,61.15181115181115,0,4
bass,bert-large,66.66666666666667,82.99145299145299,66.66666666666667,78.71794871794872,0,1
bass,roberta-base,77.77777777777777,89.62962962962962,50.0,62.592592592592595,1,2
bass,roberta-large,94.44444444444444,98.14814814814814,55.55555555555556,59.25925925925927,0,0
bass,deberta-base,94.44444444444444,98.14814814814814,66.66666666666667,74.2186088527552,0,1
bass,deberta-large,94.44444444444444,98.14814814814814,72.22222222222223,87.03703703703702,0,0
bill,bert-base,95.0,96.99999999999999,70.0,72.0,0,5
bill,bert-large,85.0,94.08333333333334,75.0,88.52777777777779,0,0
bill,roberta-base,85.0,97.19444444444444,70.0,82.19444444444444,0,0
bill,roberta-large,95.0,99.44444444444444,80.0,84.44444444444444,0,0
bill,deberta-base,100.0,100.0,80.0,80.0,0,1
bill,deberta-large,95.0,99.44444444444444,75.0,75.0,0,3
board,bert-base,90.0,96.19047619047618,80.0,83.33333333333333,0,3
board,bert-large,90.0,96.19047619047618,90.0,96.19047619047618,0,0
board,roberta-base,80.0,83.33333333333333,75.0,81.21308016877637,0,0
board,roberta-large,95.0,98.33333333333333,80.0,84.20289855072465,0,1
board,deberta-base,100.0,100.0,85.0,88.33333333333333,0,2
board,deberta-large,95.0,98.33333333333333,90.0,93.33333333333333,0,1
body,bert-base,80.0,81.99999999999999,70.0,73.33333333333333,2,3
